coarse_concepts,compression_fine_to_coarse,compression_fine_to_mid,compression_mid_to_coarse,fine_concepts,image_id,method,mid_concepts
9,1.56,1.08,1.44,14,2326885,v7,13
9,2.44,1.22,2.0,22,2342105,v7,18
5,3.8,1.9,2.0,19,2347842,v7,10
5,3.8,1.36,2.8,19,2364859,v7,14
8,2.88,1.77,1.62,23,2376855,v7,13
4,4.5,1.29,3.5,18,2379701,v7,14
5,4.2,1.4,3.0,21,2396558,v7,15
3,4.33,2.17,2.0,13,2406328,v7,6
4,4.5,1.64,2.75,18,498335,v7,11
3,3.0,1.8,1.67,9,713619,v7,5
