coarse_concepts,compression_fine_to_coarse,compression_fine_to_mid,compression_mid_to_coarse,fine_concepts,image_id,method,mid_concepts
11,1.27,1.0,1.27,14,2326885,v8,14
13,1.69,1.1,1.54,22,2342105,v8,20
6,3.17,1.19,2.67,19,2347842,v8,16
8,2.38,1.27,1.88,19,2364859,v8,15
9,2.56,1.44,1.78,23,2376855,v8,16
6,3.0,1.12,2.67,18,2379701,v8,16
10,2.1,1.24,1.7,21,2396558,v8,17
3,4.33,1.08,4.0,13,2406328,v8,12
8,2.25,1.38,1.62,18,498335,v8,13
3,3.0,1.29,2.33,9,713619,v8,7
