coarse_concepts,compression_fine_to_coarse,compression_fine_to_mid,compression_mid_to_coarse,fine_concepts,image_id,method,mid_concepts
9,1.56,1.08,1.44,14,2326885,v8_1,13
10,2.2,1.16,1.9,22,2342105,v8_1,19
5,3.8,1.27,3.0,19,2347842,v8_1,15
6,3.17,1.19,2.67,19,2364859,v8_1,16
8,2.88,1.28,2.25,23,2376855,v8_1,18
3,6.0,1.06,5.67,18,2379701,v8_1,17
4,5.25,1.24,4.25,21,2396558,v8_1,17
3,4.33,1.3,3.33,13,2406328,v8_1,10
4,4.5,1.2,3.75,18,498335,v8_1,15
3,3.0,1.12,2.67,9,713619,v8_1,8
